"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" is not available in the requested quantity. %s of the items will be backordered."
"%s is available for purchase in increments of %s only.","%s is available for purchase in increments of %s only."
"%s is not a correct comparsion method.","%s is not a correct comparsion method."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart."
"Add Minimum Qty","Add Minimum Qty"
"Allow Qty Below 0","Allow Qty Below 0"
"Allow Qty Below 0 and Notify Customer","Allow Qty Below 0 and Notify Customer"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Backorders","Backorders"
"By Fixed value","By Fixed value"
"By Percentage","By Percentage"
"Cannot specify product identifier for the order item.","Cannot specify product identifier for the order item."
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Kurangin Stok Saat Dilakukan Pembelian"
"In Stock","In Stock"
"Inventory","Inventori"
"Inventory API","Inventory API"
"Inventory Section","Inventory Section"
"Manage Stock","Manage Stock"
"Maximum Qty Allowed in Shopping Cart","Maksimum Kuantitas yang Diperbolehkan dalam Keranjang Belanja"
"Minimum Qty Allowed in Shopping Cart","Minimum Kuantitas yang Diperbolehkan dalam Keranjang Belanja"
"No Backorders","Tidak ada Pemesanan"
"Notify for Quantity Below","Beritahu untuk Kuantitas Dibawah"
"Out of Stock","Out of Stock"
"Product Stock Options","Product Stock Options"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","Aturan harga"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Pilihan Stok"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","Kuantitas sebanyak""%s"" yang diminta tidak tersedia."
"The requested quantity is not available.","Kuantitas yang diminta tidak tersedia."
"This product is currently out of stock.","This product is currently out of stock."
"To Fixed Value","Ke Nilai Tetap"
"To Percentage","Ke Persentasi"
"Update","Update"
"Update product stock data","Update product stock data"
"Update the Product","Perbaharui Produk"
