"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","""%d Aturan Katalog Harga berdasarkan ""%s"" atribut telah dinonaktifkan."
"Actions","Tindakan"
"Active","Aktif"
"Add New Rule","Tambah aturan baru"
"An error occurred while deleting the rule. Please review the log and try again.","Terjadi error saat menghapus aturan. Harap meninjau log dan coba lagi."
"An error occurred while saving the rule data. Please review the log and try again.","Terjadi error saat menyimpan data aturan. Harap meninjau log dan coba lagi."
"Apply","Terapkan"
"Apply Rules","Terapkan aturan"
"Attribute Set","Set atribut"
"By Fixed Amount","By Fixed Jumlah"
"By Percentage of the Original Price","By Percentage of the Harga Asli"
"Catalog","Katalog"
"Catalog Price Rule","Katalog aturan harga"
"Catalog Price Rules","Katalog aturan harga"
"Category","Kategori"
"Conditions","Kondisi"
"Conditions (leave blank for all products)","Kondisi(biarkan kosong untuk semua produk)"
"Conditions Combination","Kombinasi Kondisi"
"Customer Groups","Kelompok Pelanggan"
"Customer Registered: %s","Pelanggan Terdaftar: %s"
"Customer is a New Buyer: %s","Pelanggan adalah pembeli baru: %s"
"Date Expire","Tanggal kadaluarsa"
"Date From","Tanggal dari"
"Date Start","Tanggal mulai"
"Date To","Tanggal ke"
"Delete Rule","Hapus aturan"
"Description","Gambaran"
"Description: %s","Gambaran: %s"
"Discount Amount","Nilai Diskon"
"Edit Rule","Sunting aturan"
"Edit Rule '%s'","Sunting aturan '%s'"
"Enable Discount to Subproducts","Enable Discount to Subproducts"
"Expiration Date","Expiration Tanggal"
"Expire at: %s","Kadaluarsa pada: %s"
"From Date","dari tanggal"
"General Information","Informasi umum"
"ID","ID"
"Inactive","Tidak Aktif"
"NOT LOGGED IN","TIDAK MASUK"
"Name: %s","Nama: %s"
"New Rule","Aturan Baru"
"No","Tidak"
"Options","Opsi"
"Priority","Prioritas"
"Product Attribute","Atribut Produk"
"Promotions","Promosi"
"Rule Information","Infomasi Aturan"
"Rule Name","Nama Aturan"
"Save Rule","Simpan Aturan"
"Save and Apply","Simpan dan Terapkan"
"Save and Continue Edit","Simpan dan lanjutkan sunting"
"Start Date","Tanggal Mulai"
"Start at: %s","Mulai pada: %s"
"Status","Status"
"Stop Further Rules Processing","Stop pemrosesan aturan lebih lanjut"
"The rule has been deleted.","Aturan telah dihapus."
"The rule has been saved.","Aturan telah disimpan."
"The rules have been applied.","Aturan telah diterapkan."
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.","Ada aturan yang telah diubah tapi tidak diterapkan. Only users with exclusive access can apply rules."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Ada aturan yang telah diubah tapi tidak diterapkan. Silakan, Klik aturan terapkan untuk melihat efek secepatnya pada katalog."
"This rule no longer exists.","Aturan ini sudah tidak ada."
"To Date","Sampai Tanggal"
"To Fixed Amount","To Fixed Jumlah"
"To Percentage of the Original Price","To Percentage of the Harga Asli"
"Type","Tipe"
"Unable to apply rules.","Tidak dapat menerapkan aturan."
"Unable to find a rule to delete.","tidak dapat menemukan aturan untuk dihapus."
"Update Prices Using the Following Information","Update Prices Using the Following Information"
"Update product's %s %s: %s","Perbaruan Produk %s %s: %s"
"Website","Situs"
"Websites","Situs"
"Wrong rule specified","Aturan salah ditentukan"
"Wrong rule specified.","Aturan salah ditentukan."
"Yes","Ya"
