" The customer does not exist in the system anymore."," Pelanggan tidak ada lagi dalam sistem."
" [deleted]"," [dihapus]"
" and "," dan "
" note that the URLs provided below are the correct values for your current website): "," dicatat bahwa URL yang disediakan di bawah ini adalah nilai yang benar untuk website Anda saat ini): "
"%s (Default Template from Locale)","%s (template standar dari lokal)"
"%s cache type(s) disabled.","%s Tipe cache(s) dinonaktifkan."
"%s cache type(s) enabled.","%s Tipe cache(s) diaktifkan."
"%s cache type(s) refreshed.","%s Tipe cache(s) diperbarui."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Untuk jenis ""Server Lokal"" perlu menggunakan jalur relatif Ke install Magento var/ekspor atau var/impor, contoh. var/ekspor, var/impor, var/ekspor/beberapa/dir, var/impor/beberapa/dir)"
"(For US 2-letter state names)","(Untuk AS gunakan 2 huruf untuk negara bagian)"
"(If left empty will be auto-generated)","(Jika ditinggalkan kosong akan digenerate secara otomatis)"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Termasuk Banyak Negara Yang tercantum dibawah ini.Sebagai Pemilik Aplikasi, Anda Bertanggung Jawab Untuk Mematuhi Hukum Negara Tertentu Terkait Deangan Distribusi Atau Penjualan Aplikasi Anda Ke Negara Tersebut, Termasuk Negara Anda.)"
"(Leave empty for first spreadsheet)","(Tinggalkan kosong untuk spreadsheet pertama)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produk akan ditambah/diubah pada toko ini jika kolom 'toko' dibiarkan kosong atau hilang pada file import.)"
"(Shift-)Click or drag to change value","(Shift-)Klik atau geser untuk merubah nilai"
"(Starting with)","(Dimulai dengan)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Ketika 'Tidak', hanya field yang dipetakan yang akan diimport. Ketika memetakan, gunakan 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Anda harus menambah memori batas_Php sebelum merubah nilai)"
"(\\t for tab)","(\\t untuk tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Jika pengindekan sedang berlangsung, maka akan dihentikan dan proses pengindekan baru akan dimulai."
"* Required Fields","* Dibutuhkan Bidang"
"- Click on any of the time parts to increase it","- Klik pada salah satu bagian waktu untuk meningkatkannya"
"- Hold mouse button on any of the above buttons for faster selection.","- Tahan tombol mouse pada salah satu tombol di atas untuk seleksi lebih cepat."
"- Use the %s buttons to select month","- Gunakan tombol %s untuk memilih bulan"
